Googlebot,Google (google.com)
Google favicon,Google (google.com)
bing,Bing (bing.com)
msnbot,Bing (bing.com)
daumoa,Daum (daum.net)
daum,Daum (daum.net)
naverbot,Naver (naver.com)
yeti,Naver (naver.com)
zumbot,Zum (zum.com)
slurp,Yahoo! (yahoo.com)
yahoo,Yahoo! (yahoo.com)
ips-agent,VeriSign (verisigninc.com)
siteexplorer,siteexplorer.info
EasouSpider,easou.com
Sogou,sogou.com
YandexBot,yandex.com
Aboundex,aboundex.com
inboundscore,inboundscore.com
Teoma,Ask.com
recruitingpoint,recruitingpoint.com
NetcraftSurveyAgent,netcraft.com
LinkpadBot,linkpad.ru
Exabot,exabot.com
linkdex,linkdex.com
baidu,baidu.com
TweetmemeBot,datasift.com
Nutch,nutch.apache.org
MegaIndex.ru,MegaIndex.ru
lipperhey,lipperhey.com
search.thunderstone.com,Thunderstone.com
izsearch.com,izsearch.com
panscient.com,panscient.com
MSIE or Firefox mutant; not on Windows server;,Unknown(MSIE Mutant)
MSIE or Firefox mutant;) Daum,Daum (daum.net)
compatible; crw,axido.com (hetzner.de)
CATExplorador,domini.cat (fundacio.cat)
rv:1.9.0.10,Unkown(Old Firefox)
Stratagems Kumo,Stratagems Kumo
Orbiter,Orbiter(dailyorbit.com)
dailyorbit.com,Orbiter(dailyorbit.com)
lr_http_client,DDoS via Facebook
dataprovider,dataprovider.com
servernfo,servernfo.com
Netcraft,netcraft.com
wbsrch,wbsrch.com
ia_archiver, Alexa
KISA,KISA(kisa.or.kr)
The Knowledge AI,The Knowledge AI
Researchscan,Researchscan
Scrapy,Scrapy
YaBrowser,Yandex Browser
SimpleScraper,SimpleScraper
Re-re Studio,Re-re Studio
7Siters, 7ooo.ru/siters
hosterstats,hosterstats.com
Qwantify,qwant.com
Barkrowler,exensa.com
ddline.cn,ddline.cn
Blackboard Safeassign,Blackboard Safeassign
LieBaoFast,LieBaoFast
Python,Python Crawler
Gofeed,Gofeed
Go-http-client,Go-http-client
Scamadviser,Scamadviser
Mobile MQQBrowser,Mobile MQQBrowser
Mb2345Browser,Mb2345Browser
LieBaoFast,LieBaoFast
MicroMessenger,MicroMessenger
Kinza,Kinza
Datanyze,Datanyze
serpstatbot,serpstatbot
spaziodati,spaziodati
OPPO A33,OPPO A33
AspiegelBot,AspiegelBot
